Pantun,Penulis,Tema,Jenis,Makna,Situasi Penggunaan,Situasi Formal,Situasi Santai,Situasi Kehidupan,Acara/Majlis,Acara Keagamaan,Acara Sosial,Acara Pendidikan,Kata Kunci,Markah,Diterbitkan,Tarikh Cipta,Tarikh Ubah
"Beriring balam dengan merbah,
merbah kami di pohon buluh;
Seiring salam dengan sembah,
sembah kami jari sepuluh.",Azrizal Dendang Bertuah,Salam,Ucapan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"balam, dengan, beriring, merbah, merbah,",25,ya,29/09/2023,02/10/2023
"Ku ganggang keris bermandi limau,
sirih berlipat di kanan kiri;
naga di belakang di depan rimau,
dengan makrifat kuhilangkan diri.",Panglima allah,Makrifat,Tiup semangat,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"bermandi, keris, ganggang, ku, limau,",24,ya,28/09/2023,28/09/2023
"Koleh kacang bertaik minyak,
nan jeladan mirip warnanya;
Orang bujang pilihan banyak;
Kena padan dengan taqwanya.",CG Karmin Abbas,Kuih Koleh-Koleh,Gurauan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"koleh, nan, kacang, bertaik, minyak,",25,ya,24/09/2023,24/09/2023
"Sepekan dua menengok lahan,
hendak menyisih hiruk kotanya;
Lelaki tua punya pilihan,
berkongsi kasih baik tandanya.",CG karmin Abbas,Lelaki Tua,Gurauan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"menengok, hendak, sepekan, lahan,, dua",25,ya,24/09/2023,24/09/2023
"Beriam-riam air terisi,
Budak berkiam mengail patin;
Sediam-diam ubi berisi,
sediam-diam tua prihatin.",CG Karmin Abbas,Kuih-muih,Gurauan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"beriam-riam, berkiam, air, budak, terisi,",25,tidak,24/09/2023,24/09/2023
"Intinya manis buah Melaka,
sayang popia hamba lurutkan;
Buang nona manis buang serimuka,
kerana keria lah hamba turutkan.",CG Karmin Abbas,Kuih-Muih,Gurauan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"sayang, manis, melaka,, buah, intinya",25,ya,24/09/2023,24/09/2023
"Pergi berakit layarnya sangkut,
arah ke Burma nahodanya Aril;
Hati sedikit agaklah takut,
restoran bernama malaikat Jibril.",Azrizal Dendang Bertuah,Restoran,Kagum,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"berakit, layarnya, arah, sangkut,, pergi",23,ya,23/09/2023,23/09/2023
"Mudik muara diapit manggar,
Jali-jali direndam 'nak dara;
Hangat selera hidangan segar,
kuliner asli se nusantara.",CG Karmin Abbas ,Kuliner,Pujian,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"manggar,, diapit, jali-jali, mudik, muara",25,ya,23/09/2023,23/09/2023
"Anak ikan digulai ibunda,
gulai kerapu lemak berlada;
Cepat maafkan jangan bertunda,
usah tertipu usia muda.",CG karmin Abbas,Maaf,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"ibunda,, ikan, digulai, gulai, anak",25,ya,21/09/2023,21/09/2023
"Menebang jati sepohon dua,
di perdu ara orang berehat;
syarat mati bukannya tua,
tidak kira gering ke sihat.",CG Karmin Abbas,Maaf,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"dua,, di, sepohon, menebang, jati",25,ya,21/09/2023,21/09/2023
"Mengais lokan cari pedada,
berdebur-debur di paya gembur;
Cepat maafkan jangan bertunda,
menuju kubur tiada libur.",CG karmin Abbas,Maaf,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"pedada,, cari, berdebur-debur, mengais, lokan",25,ya,21/09/2023,21/09/2023
"Dari langkan meninjau kuda,
kuda sakti ekornya jungkit;
Cepat maafkan tanpa tunda,
syarat mati bukannya sakit.",CG karmin Abbas,Maaf,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"langkan, kuda,, kuda, meninjau, dari",25,ya,21/09/2023,21/09/2023
"Anak ketam jalan bertatih
Anak kuda lari ke gua
Rambutnya hitam janggutnya putih
Masihkah muda atau dah tua?",Abdul Malek,Gurauan,Santai,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"anak, bertatih, jalan, ketam",25,tidak,17/09/2023,17/09/2023
"Berbahasa itu adalah berbudi 
Pekerti mulia dibawa ke mati 
Segala urusan lancar menjadi 
Dilakukan dengan seikhlas hati ",Abdul Malek ,Budi Bahasa ,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"adalah, pekerti, itu, berbudi, berbahasa",23,tidak,17/09/2023,17/09/2023
"Cuaca terik minum air tebu,
Tambah limau ada perasa;
Rupa cantik dan berilmu,
Indah jikalau turut berbahasa.",Nur Hasibah,Budi bahasa,4 rangkap,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"tebu,, terik, air, minum, cuaca",16,tidak,17/09/2023,17/09/2023
"Pak Ali pergi ke dusun,
Singgah berehat tepi perigi;
Ikutlah kami jual beli pantun,
Minda sihat kekal berfungsi.
",Nur Hasibah,Budaya pantun,4 rangkap,Menerapkan nilai dan keindahan adat serta budaya dalam kehidupan.,Untuk memperkenalkan dan menghargai budaya serta warisan bangsa.,❌,❌,❌,"Festival Kebudayaan, Kenduri Adat, Persembahan Seni",❌,❌,❌,"ali, ke, dusun,, pak, pergi",15,tidak,17/09/2023,17/09/2023
"Anak Pak Putih dara jelita,
Lemah lembut bersopan santun;
Terima kasih Radio Warna,
Lestarikan warisan budaya pantun.

",Nur Hasibah,Budaya pantun,4 rangkap,Menerapkan nilai dan keindahan adat serta budaya dalam kehidupan.,Untuk memperkenalkan dan menghargai budaya serta warisan bangsa.,❌,❌,❌,"Festival Kebudayaan, Kenduri Adat, Persembahan Seni",❌,❌,❌,"jelita,, dara, putih, pak, anak",19,tidak,17/09/2023,17/09/2023
"Bersama kita masuk peraduan
Menang kalah adat pertandingan 
Seni berpantun dilupa jangan
Tidak hilang ditelan zaman",Eida Ali,Lestari budaya,Hiburan,Menerapkan nilai dan keindahan adat serta budaya dalam kehidupan.,Untuk memperkenalkan dan menghargai budaya serta warisan bangsa.,❌,❌,❌,"Festival Kebudayaan, Kenduri Adat, Persembahan Seni",❌,❌,❌,"peraduan, bersama, masuk, menang, kita",14,tidak,17/09/2023,17/09/2023
"Sebagai anak jati melayu
Bangga dengan adat budaya
Pantun antara naskah yg padu
Harus dilestari anak bangsa",Eida Ali,Budaya melayu,Hiburan,Menerapkan nilai dan keindahan adat serta budaya dalam kehidupan.,Untuk memperkenalkan dan menghargai budaya serta warisan bangsa.,❌,❌,❌,"Festival Kebudayaan, Kenduri Adat, Persembahan Seni",❌,❌,❌,"bangga, melayu, anak, jati, sebagai",18,tidak,17/09/2023,17/09/2023
"Pesta Pantun kini bergema
Pertama kali kita bersua
Eida Ali itulah nama
Salam kenal kepada semua",Eida Ali,Salam perkenalan,Hiburan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"bergema, pertama, kini, pesta, pantun",21,tidak,17/09/2023,17/09/2023
"Sungguh gagah si pokok mangga
Sayang buahnya sudah tiada
Anak kita tidak berbahasa
Duka ninda tidak terkata",Zakiah Muhamad,Bahasa,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"pokok, sungguh, si, mangga, gagah",17,tidak,16/09/2023,16/09/2023
"Permata indah hias selendang,

Tersenyum lebar gadis Sedeli;

Tatkala wajah girang dipandang,

Mengapa debar datang kembali?",Zuraimi,Perasaan Hati,Pantun Cinta,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"tersenyum, selendang,, permata, indah, hias",24,tidak,16/09/2023,16/09/2023
"Bianglala tujuh warnanya
Terbit selepas hujan sehari
Indah bahasa baik budinya
Akhlak menghias jati dan diri",Zuraimi,Bahasa,Pantun Nasihat ,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"warnanya, terbit, tujuh, selepas, bianglala",22,tidak,16/09/2023,16/09/2023
"Dari Yishun hendak ke Geylang,
Meredah macet di jalanraya,
Hendak beli se urat gelang,
Kena menabung hingga ke tua.",Juriah Binte Santari,Tidak ditentukan,Tidak ditentukan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"hendak, yishun, ke, geylang,, dari",19,tidak,15/09/2023,15/09/2023
"Tumbuk cili bunyi beralun,
Berhati-hati mengangkat lesung,
Hajat di hati hendak berpantun,
Apakan daya fikiran kosong.",Juriah Binte Santari,Tidak ditentukan,Tidak ditentukan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"tumbuk, cili, berhati-hati, bunyi, beralun,",18,tidak,15/09/2023,15/09/2023
"Buah mangga daun penggaga,
Mari dipatuk sekawan angsa,
Turun tangga naik tangga,
Adat tinggal di rumah pangsa",Juriah Binte Santari,Tidak ditentukan,Tidak ditentukan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"daun, mari, penggaga,, buah, mangga",19,tidak,15/09/2023,15/09/2023
"Bagai permata tiada gundah,
Kejora kemas cantik tertayang;
Dengan kekata kuukir indah,
Takkanlah lemas kasih dan sayang.",Annas Mahmud,Kasih,Kasih,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"kejora, permata, gundah,, bagai, tiada",25,tidak,15/09/2023,15/09/2023
"Pabila kaduk naiki junjung,
Kelak terpatah terhapus juga;
Kiranya duduk tinggi disanjung,
Riyak bertitah harus berjaga.",Annas Mahmud,Riyak,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"naiki, junjung,, pabila, kelak, kaduk",25,tidak,15/09/2023,15/09/2023
"Di mana tapak menginjak bumi,
Langit dijunjung di situ juga;
Ikutlah corak tanah didiami,
Di lain tanjung adab dijaga.",Aisyah Lyana,Undang-undang,Pantun peribahasa,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"tapak, menginjak, di, mana, bumi,",24,tidak,15/09/2023,15/09/2023
"Andainya tikus baiki labu,
Semakin lama bertambah rosak;
Kiranya rakus takluki kalbu,
Membikin sukma rebah dan sesak.",Annas,Tamak Haloba,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"semakin, baiki, andainya, labu,, tikus",25,tidak,15/09/2023,15/09/2023
"Pohon talas dahan kepayang, 
Cantiknya mawar luar biasa;
Budi dibalas kasih dan sayang,
Takkanlah pudar ditelan masa. ",Annas,Kasih,Kasih,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"pohon, talas, dahan, cantiknya, kepayang,",23,tidak,15/09/2023,15/09/2023
"Indah anggerik mekar menawan,
Tidaklah suram ikut cuaca;
Bijak bestari insan ilmuwan,
Kenal manikam bukanlah kaca. ",Annas,Ilmu,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"indah, mekar, menawan,, anggerik, tidaklah",23,tidak,15/09/2023,15/09/2023
"Indah melati mekar menawan,
Tidaklah suram ikut cuaca;
Bijak bestari insan ilmuwan,
Kenal manikam bukanlah kaca. ",Tidak ditentukan,Tidak ditentukan,Tidak ditentukan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"melati, indah, tidaklah, menawan,, mekar",23,tidak,15/09/2023,15/09/2023
"Nyala pelita di waktu badai,
Minyak dilumas tidak setanding,
Nilai wanita jangan digadai,
Harta emas tiada berbanding.",Aisyah Lyana,Wanita,Pantun nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"nyala, badai,, waktu, di, pelita",25,tidak,15/09/2023,15/09/2023
"Izinkan bulan jenguk mentari,
Hanya bertemu waktu gerhana;
Rasa terkilan tidak terperi,
Rindukan kamu hati merana.",Aisyah Lyana,Cinta,Pantun cinta,Melambangkan perasaan cinta dan kasih sayang dalam perhubungan.,Untuk mengungkapkan perasaan cinta dan kasih kepada pasangan.,❌,❌,❌,"Majlis Perkahwinan, Hari Kekasih, Ulang Tahun Perkahwinan",❌,✅,❌,"izinkan, mentari,, jenguk, bulan, hanya",25,tidak,15/09/2023,15/09/2023
"panmi serepan dandin selatun
pelatun mangra keman repasi
delapo depan terhan keletun
mana sujira taman kebasi?",Tidak ditentukan,Tidak ditentukan,Tidak ditentukan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"pelatun, serepan, selatun, dandin, panmi",25,tidak,15/09/2023,15/09/2023
"Kasih diikat cincin suasa,
Lihatlah dara tersenyum ayu;
Sastera rakyat warisan bangsa,
Itulah dia pantun Melayu.
",Farah Nur Zakiah Roslee,Pantun,Empat kerat,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"suasa,, kasih, lihatlah, diikat, cincin",23,tidak,15/09/2023,15/09/2023
"Datang melutut memohon restu,
Bagi pasangan yang sedang kasmaran;
Pembayang maksud seiring bersatu,
Dalam sampaikan buah fikiran.
",Farah Nur Zakiah Roslee,Pantun,Empat kerat,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"restu,, melutut, bagi, datang, memohon",21,tidak,15/09/2023,15/09/2023
"Tukang permata menjual sudah,
Intan manikam dibeli kanda;
Barisan kata tersusun indah,
Pemanis kalam, pengasah minda.
",Farah Nur Zakiah Roslee,Pantun,Empat kerat,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"tukang, intan, permata, menjual, sudah,",24,tidak,15/09/2023,15/09/2023
"Lemak manis senyuman terlena
Anak siapa bersopan santun
Majlis ceria anjuran Warna
Semarakkan budaya berpesta pantun",Abdul Malek,Mesra,Pantun Mesra,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"lemak, manis, senyuman, terlena, anak",22,tidak,15/09/2023,15/09/2023
"Si Anak monyet mencuri bugis
Matanya pedih kena jelatang
Awak tertawa saya menangis
Kekasih pergi dibawa orang",Tidak ditentukan,Tidak ditentukan,Tidak ditentukan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"mencuri, si, bugis, anak, monyet",19,tidak,08/09/2023,15/09/2023
"Mentari rembang di laut selatan,
Berlayar kelasi tuju ke selat,
Belia tunjang kesepaduan watan,
Penerus legasi Malaysia berdaulat.",MUHAMMAD RUSYAIDI BIN RAZHI ,Belia Malaysia ,Patriotik ,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"mentari, selatan,, di, rembang, laut",24,tidak,14/09/2023,14/09/2023
"Dara Sunda tuju ke pekan,
Singgah sebentar bertemu aduka,
Semangat rang muda ayuh siramkan,
Agar mekar kelopak merdeka.",MUHAMMAD RUSYAIDI BIN RAZHI ,Kemerdekaan ,Patriotik ,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"dara, ke, sunda, tuju, pekan,",22,tidak,14/09/2023,14/09/2023
"Mendung langit berdentum guntur,
Mengguyur gerimis membasah melati,
Jiwa madani tidakkan luntur,
Tersemat rapi elok di hati.

 ",MUHAMMAD RUSYAIDI BIN RAZHI ,Malaysia Jiwa Madani ,Patriotik,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"mendung, langit, mengguyur, berdentum, guntur,",22,tidak,14/09/2023,14/09/2023
"Di bawah bulan purnama bersinar,
Rindu di hati takkan pernah pudar.
Bintang-bintang menghiasi malam ini,
Cinta kita abadi, takkan pernah kini.",syahir,Cinta,Pantun cinta,Melambangkan perasaan cinta dan kasih sayang dalam perhubungan.,Untuk mengungkapkan perasaan cinta dan kasih kepada pasangan.,❌,❌,❌,"Majlis Perkahwinan, Hari Kekasih, Ulang Tahun Perkahwinan",❌,✅,❌,"bersinar,, di, bulan, purnama, bawah",14,tidak,14/09/2023,14/09/2023
"kopi dihirup begitu lama,
semut berderet naik ke meja; 
mahligai indah dibina bersama,
bersangka baik, maafkan saja


",Asmidah Mohd Jailani,maafkanlah,nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"semut, dihirup, lama,, begitu, kopi",22,tidak,14/09/2023,14/09/2023
"Burung berkicauan di terbit matahari,
Angin bertiup sepoi-sepoi bahasa,
Biar sekarang kita bekerja seperti kuli,
Supaya keluarga mendapat suapan sempurna",syahir,Kerja keras,Pantun nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"terbit, di, burung, matahari,, berkicauan",12,tidak,14/09/2023,14/09/2023
"Pisau yang tumpul hendaklah diasah
Jika tidak, mana mungkin ia memotong
Jika pemuda Melayu tidak diendah
lalu bagaimana mereka hendak ditolong?",syahir,remaja melayu,pantun nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"diasah, pisau, yang, hendaklah, tumpul",14,tidak,14/09/2023,14/09/2023
"Empuknya  bantal lalu terlena,
kopi dingin di atas para;
nak kata handal tidaklah mana,
hanya ingin menyemarakkan acara.


",Asmidah Mohd Jailani,suka- suka,bebas,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"empuknya, lalu, terlena,, bantal, kopi",22,tidak,14/09/2023,14/09/2023
"

Sate dimakan bersama ketupat,
daging terselit di celah gigi;
aku tak berteman, tiada sahabat,
hidupku perit, bersendiri lagi.

",Asmidah Mohd Jailani,suka-suka,bebas,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"daging, bersama, sate, dimakan, ketupat,",19,tidak,14/09/2023,14/09/2023
"Dedap merah mekar melayah
Batang perdu tetaplah kaku
Diharap usah terhindar payah
Merancang perlu ditelah liku",Alang Tengah Biru Kundang,Pantun Memujuk Diri 3,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"dedap, melayah, batang, merah, mekar",23,tidak,14/09/2023,14/09/2023
"Perahu lama dayung menongkah
Penat sekali menggagah muara
Baru bermula tersadung langkah
Dapat berdiri teruslah mara",Alang Tengah Biru Kundang,Pantun Memujuk Diri 2,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"perahu, menongkah, penat, lama, dayung",22,tidak,14/09/2023,14/09/2023
"Walau menjoran hampa sepetang
Sebeban kerapu puas sepagi
Kalau gusarkan perkara mendatang
Syukurkan dulu bernafas lagi

",Alang Tengah Biru Kundang,Pantun Memujuk Diri,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"hampa, walau, sepetang, sebeban, menjoran",21,tidak,14/09/2023,14/09/2023
"Benih disemai tumbuhnya padi,
Hasilnya barang harta pusaka.
Hidup beramai biarlah berbudi,
Agar orang keliling pasti suka.",Hadijah A Samah,Budi bahasa,Pantun nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"hasilnya, benih, tumbuhnya, padi,, disemai",25,ya,14/09/2023,14/09/2023
